Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
109,31003,species,Black-tailed Waxbill,Glaucestrilda perreini,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309353,,1
110,30130,species,Purple-banded Sunbird,Cinnyris bifasciatus,1,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309353,,1
111,25468,species,Southern Yellow White-eye,Zosterops anderssoni,2,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309353,,1
112,973,species,Southern Crested Guineafowl,Guttera edouardi,10,Tembe Elephant Park,ZA-NL,28 Jul 2024,L1756570,S189309353,,1
113,30705,species,Fan-tailed Widowbird,Euplectes axillaris,10,Wakkerstroom area (please consider more specific locations when appropriate),ZA-MP,27 Jul 2024,L930824,S189308376,,1
114,10901,species,Red-throated Wryneck,Jynx ruficollis,1,Wakkerstroom area (please consider more specific locations when appropriate),ZA-MP,27 Jul 2024,L930824,S189308376,,1
115,5809,species,Black-winged Lapwing,Vanellus melanopterus,4,Wakkerstroom area (please consider more specific locations when appropriate),ZA-MP,27 Jul 2024,L930824,S189308376,,1
116,6033,species,African Snipe,Gallinago nigripennis,1,Chrissiesmeer,ZA-MP,27 Jul 2024,L11115142,S189188762,,1
117,30118,species,Marico Sunbird,Cinnyris mariquensis,1,Marloth Park,ZA-MP,27 Jul 2024,L2634488,S189307102,,1
118,28191,species,Kurrichane Thrush,Turdus libonyana,1,Marloth Park,ZA-MP,27 Jul 2024,L2634488,S189307102,,1
119,28692,species,Bearded Scrub-Robin,Tychaedon quadrivirgata,1,Marloth Park,ZA-MP,26 Jul 2024,L2634488,S188934554,,1
121,5887,species,White-fronted Plover,Anarhynchus marginatus,1,Marloth Park,ZA-MP,26 Jul 2024,L2634488,S188934554,,1
122,23793,species,Gray-rumped Swallow,Pseudhirundo griseopyga,5,Kruger NP--Crocodile Bridge Camp,ZA-MP,26 Jul 2024,L1084264,S189306981,,1
123,30722,species,Grosbeak Weaver,Amblyospiza albifrons,1,Kruger NP--Lower Sabie Rest Camp,ZA-MP,26 Jul 2024,L2054682,S189306670,,1
124,24193,species,Terrestrial Brownbul,Phyllastrephus terrestris,1,Kruger NP--Lower Sabie Rest Camp,ZA-MP,26 Jul 2024,L2054682,S189306670,,1
125,19813,species,Brubru,Nilaus afer,1,"Gomondwane Loop, Nkomazi ZA-MP -25.25811, 31.88390",ZA-MP,26 Jul 2024,L35235461,S189187889,,1
126,9515,species,Green Woodhoopoe,Phoeniculus purpureus,4,"Gomondwane Loop, Nkomazi ZA-MP -25.25811, 31.88390",ZA-MP,26 Jul 2024,L35235461,S189187889,,1
127,8662,species,African Scops-Owl,Otus senegalensis,2,Kruger NP--Crocodile River Rd (between Crocodile Bridge and S108),ZA-MP,25 Jul 2024,L14146954,S188794580,,1
128,3629,species,Fiery-necked Nightjar,Caprimulgus pectoralis,2,Kruger NP--Crocodile River Rd (between Crocodile Bridge and S108),ZA-MP,25 Jul 2024,L14146954,S188794580,,1
